Electron Version,# of apps
0,1
1,3
2,1
3,1
4,0
5,2
6,0
7,0
8,0
9,1
10,0
11,3
12,4
13,2
14,3
15,3
16,0
17,1
18,1
19,4
20,2
21,1
22,5
23,2
24,1
25,1
26,6
27,4
28,2
29,5
30,8
31,18
32,16
33,11
